id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
520901,False,/kNGW6f47HUk0hISjj1AvXoLNL3L.jpg,"[28, 878, 27, 9648]",en,Doom: Annihilation,"A group of UAC Marines responds to a distress call from a top-secret scientific base on Phobos, a Martian moon, only to discover it's been overrun by demons.",212.619,/7EGElXVSNnqcPjuhXPd6UVUX1rD.jpg,2019-09-30,Doom: Annihilation,False,4.9,237
1680,False,/9H8wGFwKKt2ADRhg2odywTg1NCZ.jpg,"[35, 12, 14]",ja,キングコング対ゴジラ,"The original Japanese comedy version features a narrative structure different from its more famous American cut. Tako, advertising director of Pacific Pharmaceuticals, is frustrated with the low ratings of their sponsored TV program and orders his staff to investigate a Mammoth Evil Spirt for publicity. As Kong is captured, Godzilla emerges and a media frenzy generates debates over which monster can beat who. Tako realizes the marketability of King Kong fighting Godzilla and the two monsters are set to face each other in the biggest wrestling match of all time. After decades of obscurity, the original Japanese version of the film saw an official release via Criterion along with a proper translation.",198.642,/aSJyNAFmKvbHoGnHKaFKKwPAkZv.jpg,1962-08-11,King Kong vs. Godzilla,False,6.6,180
575088,False,/4br4B8C0SRIYcKHUgoaOlGo50MU.jpg,[27],ru,Яга. Кошмар тёмного леса,"The young family who moved to a new apartment on the outskirts of the city. The nanny hired by them for the newborn daughter quickly gained confidence. However, the older boy, Egor, talks about the frightening behavior of a woman, but his parents do not believe him. The surveillance cameras installed by the father for comfort only confirm everything is in order. Then one day, Egor, returning home, finds no trace of either the nanny or the little sister, and the parents are in a strange trance and do not even remember that they had a daughter. Then Egor, together with his friends, goes in search, during which it turns out that the nanny is an ancient Slavic demon, popularly known as Baba Yaga.",218.645,/8m5HTXzwewlfXhtZtLlLts53YTW.jpg,2020-02-27,Baba Yaga: Terror of the Dark Forest,False,6.1,110
299537,False,/w2PMyoyLU22YvrGK3smVM9fW1jj.jpg,"[28, 12, 878]",en,Captain Marvel,"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",215.142,/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,2019-03-06,Captain Marvel,False,7.0,11084
317442,False,/74LGSGmtwzM3lIwIMFJS2hX1Fi2.jpg,"[28, 10749, 16]",ja,The Last: Naruto the Movie,"Two years after the events of the Fourth Great Ninja War, the moon that Hagoromo Otsutsuki created long ago to seal away the Gedo Statue begins to descend towards the world, threatening to become a meteor that would destroy everything on impact. Amidst this crisis, a direct descendant of Kaguya Otsutsuki named Toneri Otsutsuki attempts to kidnap Hinata Hyuga but ends up abducting her younger sister Hanabi. Naruto and his allies now mount a rescue mission before finding themselves embroiled in a final battle to decide the fate of everything.",221.601,/bAQ8O5Uw6FedtlCbJTutenzPVKd.jpg,2014-12-06,The Last: Naruto the Movie,False,7.8,894
571785,False,/a8ppJJIQmEJcLSFfhxupc4aT4KW.jpg,"[18, 28, 53]",ko,사냥의 시간,"Four young men who want to leave their dystopian world behind and go to a distant paradise execute a money robbery, a daring act that will have unexpected consequences.",222.387,/bkuuvDoPkOJpg0ZDzHkUWt8ZG5A.jpg,2020-02-22,Time to Hunt,False,7.3,172
347201,False,/zLTfRrrVXNW3OWUk6U1eFZhB18m.jpg,"[28, 35, 16]",ja,BORUTO -NARUTO THE MOVIE-,"Boruto is the son of the 7th Hokage Naruto who completely rejects his father. Behind this, he has feelings of wanting to surpass Naruto, who is respected as a hero. He ends up meeting his father's friend Sasuke, and requests to become... his apprentice!? The curtain on the story of the new generation written by Masashi Kishimoto rises!",229.849,/1k6iwC4KaPvTBt1JuaqXy3noZRY.jpg,2015-08-07,Boruto: Naruto the Movie,False,7.7,738
345940,False,/rH79sB6Nkx4cMW3JzsUy7wK0rhX.jpg,"[28, 878, 27]",en,The Meg,"A deep sea submersible pilot revisits his past fears in the Mariana Trench, and accidentally unleashes the seventy foot ancestor of the Great White Shark believed to be extinct.",228.935,/xqECHNvzbDL5I3iiOVUkVPJMSbc.jpg,2018-08-09,The Meg,False,6.2,5032
505225,False,/lsgYcIbcoQeDZXsHYMOnkvk3sn0.jpg,"[18, 53]",en,The Last Thing He Wanted,"At the turning point of the Iran-Contra affair, Elena McMahon, a fearless investigative journalist covering the 1984 US presidential campaign, puts herself in danger when she abandons her assigned task in order to fulfill the last wish of her ailing father, a mysterious man whose past activities she barely knows.",226.407,/gItrnbEbMBbUrdIkFz8kgS2gkt.jpg,2020-02-14,The Last Thing He Wanted,False,5.0,316
565743,False,/lVSMgZUBE4XTVaPBEBAczre4f1W.jpg,"[9648, 878, 18, 53]",en,The Vast of Night,"At the dawn of the space-race, two radio-obsessed teens discover a strange frequency over the airwaves in what becomes the most important night of their lives and in the history of their small town.",220.96,/suORidtGKPO6tWwNqiwGvNo85z3.jpg,2020-05-15,The Vast of Night,False,6.5,533
